Instance,m,n,Size,Runtime_Setting_MS,Runtime_Setting_S,Repetitions,MinResult_PSO,AvgResult_PSO,StdResult_PSO,AvgTime_PSO,SuccessRuns_PSO,FailedRuns_PSO,FirstError_PSO
Inst_m2_n10_pi2.0_TF0.6_R0.4_8.txt,2,10,10×2,240.0000,0.2400,10,2654.5400,2683.3650,73.1828,0.2429,10,0,
Inst_m2_n10_pi2.0_TF0.6_R0.4_9.txt,2,10,10×2,240.0000,0.2400,10,1484.6600,1484.8990,0.7558,0.2425,10,0,
Inst_m2_n10_pi2.0_TF0.6_R0.6_1.txt,2,10,10×2,240.0000,0.2400,10,943.7700,943.7700,0.0000,0.2425,10,0,
Inst_m2_n10_pi2.0_TF0.6_R0.6_10.txt,2,10,10×2,240.0000,0.2400,10,1720.3300,1726.9300,20.8710,0.2423,10,0,
Inst_m2_n10_pi2.0_TF0.6_R0.6_2.txt,2,10,10×2,240.0000,0.2400,10,914.4400,954.1200,20.9132,0.2426,10,0,
Inst_m2_n10_pi2.0_TF0.6_R0.6_3.txt,2,10,10×2,240.0000,0.2400,10,2067.7000,2076.4000,18.3412,0.2426,10,0,
Inst_m2_n10_pi2.0_TF0.6_R0.6_4.txt,2,10,10×2,240.0000,0.2400,10,2111.8300,2120.9300,28.7767,0.2428,10,0,
Inst_m2_n10_pi2.0_TF0.6_R0.6_5.txt,2,10,10×2,240.0000,0.2400,10,881.5200,882.6720,2.4286,0.2426,10,0,
Inst_m2_n10_pi2.0_TF0.6_R0.6_6.txt,2,10,10×2,240.0000,0.2400,10,1756.8900,1769.7700,24.5631,0.2429,10,0,
Inst_m2_n10_pi2.0_TF0.6_R0.6_7.txt,2,10,10×2,240.0000,0.2400,10,1179.7900,1179.7900,0.0000,0.2429,10,0,
Inst_m2_n10_pi2.0_TF0.6_R0.6_8.txt,2,10,10×2,240.0000,0.2400,10,2020.1000,2026.8380,5.7991,0.2425,10,0,
Inst_m2_n10_pi2.0_TF0.6_R0.6_9.txt,2,10,10×2,240.0000,0.2400,10,1704.3300,1740.1530,57.6805,0.2431,10,0,
